Pos,Driver,Time Kph,,Driver,Time Kph,,Driver,Time Kph,,Driver,Time Kph,,Driver,Time,Kph
1,7 M. CONWAY,3.116 167.3,,7M. CONWAY,3.400 263.8,,3 G. MENEZES,13.645 272.3,,7 M. CONWAY,6.064 153.5,,7 K.KOBAYASHI,6.606,217.4
2,8 S. BUEMI,3.119 167.1,,8S. BUEMI,3.481 257.6,,7 M. CONWAY,13.989 265.6,,3 G. MENEZES,6.225 149.5,,8 S.BUEMI,6.682,215.0
3,11 V. PETROV,3.299 158.0,,11V. PETROV,3.648 245.8,,1 B. SENNA,14.056 264.3,,17 S. SARRAZIN,6.264 148.6,,11 V.PETROV,6.983,205.7
4,17 S. SARRAZIN,3.301 157.9,,17S. SARRAZIN,3.668 244.5,,17 S. SARRAZIN,14.162 262.3,,8 S. BUEMI,6.268 148.5,,17 S.SARRAZIN,6.985,205.6
5,1 B. SENNA,3.316 157.2,,3G. MENEZES,3.679 243.8,,10 B. HANLEY,14.297 259.9,,29 G. VAN DER GARDE,6.280 148.2,,3 G.MENEZES,7.027,204.4
6,3 G. MENEZES,3.348 155.7,,1B. SENNA,3.711 241.6,,8 S. BUEMI,14.298 259.8,,1 B. SENNA,6.306 147.6,,1 B.SENNA,7.034,204.2
7,4 T. DILLMANN,3.423 152.3,,10B. HANLEY,3.785 236.9,,11 V. PETROV,14.302 259.8,,43 N. NATO,6.314 147.4,,10 B.HANLEY,7.237,198.5
8,10 B. HANLEY,3.450 151.1,,4T. DILLMANN,3.812 235.2,,4 T. DILLMANN,14.730 252.2,,93 N. TANDY,6.329 147.1,,4 T.DILLMANN,7.239,198.4
9,28 M. VAXIVIERE,3.471 150.2,,31A. DAVIDSON,3.906 229.6,,31 A. DAVIDSON,14.744 252.0,,31 A. DAVIDSON,6.365 146.2,,28 M.VAXIVIERE,7.403,194.0
10,48 P. CHATIN,3.487 149.5,,28M. VAXIVIERE,3.917 228.9,,26 J. VERGNE,14.750 251.9,,11 V. PETROV,6.368 146.2,,26 J.VERGNE,7.427,193.4
11,25 A. PIZZITOLA,3.491 149.3,,39J. HIRSCHI,3.924 228.5,,48 P. CHATIN,14.826 250.6,,22 F. ALBUQUERQUE,6.373 146.1,,31 P.MALDONADO,7.431,193.3
12,37 R. TAYLOR,3.491 149.3,,30N. JAMIN,3.927 228.4,,28 M. VAXIVIERE,14.927 248.9,,4 T. DILLMANN,6.376 146.0,,29 N.DE VRIES,7.431,193.3
13,26 J. VERGNE,3.496 149.1,,26J. VERGNE,3.930 228.2,,25 A. PIZZITOLA,14.952 248.5,,26 J. VERGNE,6.406 145.3,,37 R.TAYLOR,7.435,193.2
14,32 A. BRUNDLE,3.498 149.0,,36N. LAPIERRE,3.931 228.1,,36 N. LAPIERRE,15.004 247.6,,10 B. HANLEY,6.413 145.1,,32 A.BRUNDLE,7.436,193.2
15,29 G. VAN DER GARDE,3.499 149.0,,29 G. VAN DER GARDE,3.932 228.1,,43 N. NATO,15.049 246.9,,37 R. TAYLOR,6.441 144.5,,48 P.CHATIN,7.441,193.0
16,43 N. NATO,3.508 148.6,,32A. BRUNDLE,3.933 228.0,,30 N. JAMIN,15.085 246.3,,39 J. HIRSCHI,6.448 144.4,,43 N.NATO,7.443,193.0
17,20 A. FJORDBACH,3.510 148.5,,43N. NATO,3.935 227.9,,39 J. HIRSCHI,15.090 246.2,,36 N. LAPIERRE,6.457 144.2,,25 A.PIZZITOLA,7.451,192.8
18,38 H. TUNG,3.510 148.5,,20A. FJORDBACH,3.940 227.6,,38 H. TUNG,15.104 246.0,,48 P. CHATIN,6.469 143.9,,39 V.CAPILLAIRE,7.455,192.7
19,31 A. DAVIDSON,3.514 148.3,,38H. TUNG,3.940 227.6,,20 A. FJORDBACH,15.125 245.6,,86 B. BARKER,6.477 143.7,,36 A.NEGRÃO,7.457,192.6
20,22 F. ALBUQUERQUE,3.516 148.3,,48P. CHATIN,3.941 227.5,,37 R. TAYLOR,15.149 245.2,,28 M. VAXIVIERE,6.480 143.6,,22 F.ALBUQUERQUE,7.468,192.3
21,36 N. LAPIERRE,3.520 148.1,,23W. STEVENS,3.942 227.5,,22 F. ALBUQUERQUE,15.187 244.6,,70 M. ISHIKAWA,6.487 143.5,,30 N.JAMIN,7.471,192.3
22,39 J. HIRSCHI,3.523 148.0,,37R. TAYLOR,3.944 227.4,,32 A. BRUNDLE,15.281 243.1,,38 H. TUNG,6.492 143.4,,38 H.TUNG,7.473,192.2
23,30 N. JAMIN,3.525 147.9,,25A. PIZZITOLA,3.945 227.3,,29 G. VAN DER GARDE,15.306 242.7,,23 W. STEVENS,6.494 143.3,,20 A.FJORDBACH,7.488,191.8
24,23 W. STEVENS,3.542 147.2,,22 F. ALBUQUERQUE,3.951 227.0,,23 W. STEVENS,15.595 238.2,,20 A. FJORDBACH,6.504 143.1,,23 W.STEVENS,7.501,191.5
25,47 G. SERNAGIOTTO,3.548 146.9,,34 J. SMIECHOWSKI,3.962 226.3,,47 G. SERNAGIOTTO,15.653 237.3,,32 A. BRUNDLE,6.519 142.8,,47 G.SERNAGIOTTO,7.528,190.8
26,34 J. SMIECHOWSKI,3.572 145.9,,47 G. SERNAGIOTTO,3.976 225.5,,49 M. KONOPKA,15.763 235.7,,92 K. ESTRE,6.522 142.7,,34 J.SMIECHOWSKI,7.546,190.4
27,50 N. BOULLE,3.598 144.9,,50N. BOULLE,3.976 225.5,,34 J. SMIECHOWSKI,15.954 232.9,,47 G. SERNAGIOTTO,6.522 142.7,,50 E.CREED,7.574,189.6
