NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;2:06.349;0;;37.900;0;57.533;0;30.916;0;196.1;2:06.349;13:33:09.911;0:37.900;0:57.533;0:30.916;289.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;2;2:00.417;0;;34.830;0;54.824;0;30.763;1;209.4;4:06.766;13:35:10.328;0:34.830;0:54.824;0:30.763;302.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;3;2:17.278;0;B;40.012;0;55.696;0;41.570;0;183.7;6:24.044;13:37:27.606;0:40.012;0:55.696;0:41.570;289.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;4;3:10.094;0;;1:26.938;0;1:07.045;0;36.111;0;132.6;9:34.138;13:40:37.700;1:26.938;1:07.045;0:36.111;262.4;Neel JANI;0:00:58.509;LMP1;;Rebellion Racing;Rebellion;
1;1;5;2:29.763;0;;41.205;0;1:11.517;0;37.041;0;168.4;12:03.901;13:43:07.463;0:41.205;1:11.517;0:37.041;259.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;6;2:26.394;0;;39.924;0;1:09.323;0;37.147;0;172.2;14:30.295;13:45:33.857;0:39.924;1:09.323;0:37.147;244.6;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;7;2:28.091;0;;41.561;0;1:09.801;0;36.729;0;170.3;16:58.386;13:48:01.948;0:41.561;1:09.801;0:36.729;241.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;8;2:31.783;0;;41.324;0;1:13.133;0;37.326;0;166.1;19:30.169;13:50:33.731;0:41.324;1:13.133;0:37.326;210.4;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;9;2:31.006;0;;41.665;0;1:12.353;0;36.988;0;167.0;22:01.175;13:53:04.737;0:41.665;1:12.353;0:36.988;236.6;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;10;2:43.701;0;;41.242;0;1:19.004;0;43.455;0;154.0;24:44.876;13:55:48.438;0:41.242;1:19.004;0:43.455;205.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;11;3:34.670;0;;48.246;0;1:35.451;0;1:10.973;0;117.5;28:19.546;13:59:23.108;0:48.246;1:35.451;1:10.973;168.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;12;4:13.019;0;;1:24.517;0;1:43.833;0;1:04.669;0;99.7;32:32.565;14:03:36.127;1:24.517;1:43.833;1:04.669;82.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;13;3:49.169;0;;1:10.853;0;1:39.862;0;58.454;0;110.0;36:21.734;14:07:25.296;1:10.853;1:39.862;0:58.454;113.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;14;3:27.492;0;;1:01.939;0;1:33.655;0;51.898;0;121.5;39:49.226;14:10:52.788;1:01.939;1:33.655;0:51.898;129.8;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;15;3:12.725;0;;53.223;0;1:29.740;0;49.762;0;130.8;43:01.951;14:14:05.513;0:53.223;1:29.740;0:49.762;164.4;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;16;3:09.318;0;;52.026;0;1:28.703;0;48.589;0;133.2;46:11.269;14:17:14.831;0:52.026;1:28.703;0:48.589;162.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;17;3:18.701;0;;51.045;0;1:32.602;0;55.054;0;126.9;49:29.970;14:20:33.532;0:51.045;1:32.602;0:55.054;172.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;18;2:24.751;0;;39.673;0;1:09.358;0;35.720;0;174.2;51:54.721;14:22:58.283;0:39.673;1:09.358;0:35.720;212.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;19;2:21.321;0;;38.055;0;1:08.290;0;34.976;0;178.4;54:16.042;14:25:19.604;0:38.055;1:08.290;0:34.976;244.6;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;20;2:20.650;0;;38.007;0;1:07.731;0;34.912;0;179.3;56:36.692;14:27:40.254;0:38.007;1:07.731;0:34.912;250.8;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;21;2:19.783;0;;37.609;0;1:07.209;0;34.965;0;180.4;58:56.475;14:30:00.037;0:37.609;1:07.209;0:34.965;252.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;22;2:19.795;0;;37.632;0;1:07.234;0;34.929;0;180.4;1:01:16.270;14:32:19.832;0:37.632;1:07.234;0:34.929;259.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;23;2:40.070;0;;37.791;0;1:09.582;0;52.697;0;157.5;1:03:56.340;14:34:59.902;0:37.791;1:09.582;0:52.697;256.8;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;24;4:10.392;0;;1:01.748;0;1:51.710;0;1:16.934;0;100.7;1:08:06.732;14:39:10.294;1:01.748;1:51.710;1:16.934;80.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;25;4:09.081;0;;1:25.868;0;1:52.285;0;50.928;0;101.2;1:12:15.813;14:43:19.375;1:25.868;1:52.285;0:50.928;92.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;26;3:03.836;0;;54.478;0;1:19.214;0;50.144;0;137.2;1:15:19.649;14:46:23.211;0:54.478;1:19.214;0:50.144;172.5;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;27;3:04.681;0;B;51.441;0;1:22.895;0;50.345;0;136.5;1:18:24.330;14:49:27.892;0:51.441;1:22.895;0:50.345;182.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;28;3:46.208;0;;1:50.477;0;1:16.476;0;39.255;0;111.5;1:22:10.538;14:53:14.100;1:50.477;1:16.476;0:39.255;206.0;Neel JANI;0:01:16.820;LMP1;;Rebellion Racing;Rebellion;
1;1;29;2:33.584;0;;44.069;0;1:13.772;0;35.743;0;164.2;1:24:44.122;14:55:47.684;0:44.069;1:13.772;0:35.743;191.4;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;30;2:19.250;0;;37.722;0;1:08.024;0;33.504;0;181.1;1:27:03.372;14:58:06.934;0:37.722;1:08.024;0:33.504;238.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;31;2:13.553;0;;36.394;0;1:04.277;0;32.882;0;188.8;1:29:16.925;15:00:20.487;0:36.394;1:04.277;0:32.882;227.6;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;32;2:11.114;0;;35.659;0;1:03.458;0;31.997;0;192.3;1:31:28.039;15:02:31.601;0:35.659;1:03.458;0:31.997;250.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;33;2:08.733;0;;35.342;0;1:00.599;0;32.792;0;195.9;1:33:36.772;15:04:40.334;0:35.342;1:00.599;0:32.792;282.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;34;2:05.813;0;;34.953;0;59.303;0;31.557;0;200.4;1:35:42.585;15:06:46.147;0:34.953;0:59.303;0:31.557;278.6;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;35;2:06.116;0;;35.137;0;59.470;0;31.509;0;199.9;1:37:48.701;15:08:52.263;0:35.137;0:59.470;0:31.509;291.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
